AAPL,219.18,-0.85,-0.39%,USD,11:11 AM EDT,18.53M,-,26.90M,1.06T,9/21/2018
CVS,79.11,-0.28,-0.35%,USD,11:11 AM EDT,2.64M,-,7.27M,1.06T,9/21/2018
FB,164.65,-1.37,-0.83%,USD,11:11 AM EDT,12.40M,-,25.76M,1.06T,9/21/2018
HAS,107.56,+0.55,+0.51%,USD,11:10 AM EDT,286.02k,-,1.21M,1.06T,9/21/2018
IAC,213.60,-1.48,-0.69%,USD,11:10 AM EDT,258.16k,-,860.64k,1.06T,9/21/2018
MU,44.47,-1.59,-3.45%,USD,11:11 AM EDT,47.34M,-,37.87M,1.06T,9/21/2018
NTES,217.49,+4.30,+2.02%,USD,11:10 AM EDT,566.01k,-,984.89k,1.06T,9/21/2018
TSLA,297.25,-1.08,-0.36%,USD,11:11 AM EDT,1.80M,-,9.96M,1.06T,9/21/2018
TXT,71.25,+0.46,+0.65%,USD,11:11 AM EDT,551.67k,-,1.60M,1.06T,9/21/2018
WASH,57.05,+0.10,+0.18%,USD,11:07 AM EDT,25.31k,-,27.84k,1.06T,9/21/2018
